lat_maxs,lat_mids,lat_mins,area_km2_550,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
-85,-88,-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.90066063653896,4676.54859770759,6055.487719817893,3676.192308526104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7212.894754475497,5239.803685584638,11063.45286932838,6908.906320134676,0.0,13669.052930807424,17564.075916645877,19848.59367661787,13510.269132106532,12478.02795439429,8942.93037795004,1155.7739525160466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1225308014563,136.95926795390815,224.80440907154266,802.7977104958151
-80,-83,-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3163.2041488322966,6835.862061534843,2148.5894581953426,0.0,1940.6285837083706,2989.361891365028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18164.913027694685,26971.165708943918,28385.50221688225,30899.619947573712,42440.57173674278,43869.68458294883,38953.76670299021,21210.688751223595,12187.41326563091,8904.401490581831,8135.783931127679,6170.915149374794,10062.482356325047,9485.679874824815,7102.695210836359,2380.8093197188136,1444.7071992836345,552.5644616843744,523.851507768581,339.207315852835,617.5099906160663,1502.4791947936878,1766.1521196718913,1917.1415234216993,1866.0914456911798,1788.0294797155461,1980.5773126963927,1963.9709297751351,1836.4395199365588,1175.1108909984152
-75,-78,-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11296.015139001121,6858.129117299273,5823.212219275388,330.2682493803746,0.0,0.0,2172.0279426373877,7639.3029831226295,5231.731968602818,493.220264912151,0.0,0.0,0.0,2089.4515951745575,36.53045799445451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24464.886227865438,32732.288415016126,32648.25782933503,30157.977929210254,24383.31080408021,13902.8391838021,3980.432129235178,1010.17434807019,17.986163858888972,2873.0860614839366,9078.751760192783,7718.055036151509,7222.81746575727,6253.11102597742,4663.30653514495,4672.0479911873235,7184.204098369059,6660.407854337854,6172.454573382452,5466.284642143614,5860.4018554355225,5194.370081678798,3757.793584730961,3060.9220601235984,2604.793530781035,2284.377867000638,2026.5248687954165,1748.14551885555,1479.9409101820345,1285.549123125667,1115.0681846794796
-70,-73,-75,0.0,0.0,0.0,0.0,0.0,9374.586095945,21353.86007402702,12829.703738642726,11114.705980380078,9909.44560451434,13252.391042798383,10661.053607938466,8420.669332034442,8134.400873456352,1649.7808662298314,0.0,0.0,0.0,0.0,0.0,0.0,4418.93192866758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.62847254569542,194.8637687655992,309.3079866372877,417.62833373522693,464.885494096723,399.3716381870927,402.7586625354905,356.03952276333075,330.56704010762195,306.45477749178224,82.32701034522594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19832845983325528,1.5593584245283458,44720.335446652076,64948.902035213396,32535.91104097653,9324.846793860735,2761.654845016768,98.24414626692814,103.29009301040735,53043.63158526861,3282.9012637562455,13.245093354284931,796.05327882522,3114.956713112484,2804.1690307071194,5814.805107226533,7749.145334448038,7929.752443638595,7026.270003088746,6268.369445751952,5676.999329323105,5222.989155549798,4435.620805164111,2559.496684034537,3267.5887162076797,3255.650949125886,2994.4044970867285,2654.3679274174033,2279.869402715305,1855.508702210064,1470.046945424654,1373.9848690580716,1372.4655272251046,1149.4252134662972
-65,-68,-70,0.0,0.0,0.0,0.0,13730.076477223318,14741.709449392816,0.0,0.0,0.0,0.0,580.7328496001265,2077.180648519686,3103.274410645897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2677.99485952758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.6243045662999,1992.436749049485,1847.3116541704035,1707.3281882253218,438.5803482616465,548.5518339213825,350.1766291809792,151.4208758517809,97.79056862996994,539.5781353329539,486.828468038229,439.3541614048554,0.0,260.0793128847585,55.082531545655435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.8848281157576,145114.33513743593,132762.9031044589,116478.56267761058,64962.3763329889,6009.8731411382105,7088.418870108448,7784.172636892045,6394.327265002064,8042.747801391091,4168.206727419683,194610.67481233066,152753.4125358283,95145.46804218614,2808.067388392676,1807.3950606862554,1243.2657152722704,1935.364301253584,1736.0228764621888,2150.75350156459,1939.3537411287361,2890.78607161455,3776.9304080553657,4014.545800568355,3968.3887244456882,3924.4644675852655,2629.014170613738,1975.9107778927628,1622.7638867542908,1323.1331186345274,1220.0683491246273,1234.5109607840502,991.6008547872862,623.6695208734949,322.85082737292504,290.6640351254562
-60,-63,-65,0.0,0.0,0.0,12751.738468680242,12934.933398096427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1421.2650402732384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915.5052230502756,1190.218470269792,4329.5121917492015,2629.0152252789303,3861.7126722910384,3612.318886203052,3417.5328218556238,2613.5502038126774,2009.4662947380095,1708.7259623667057,5779.64478738337,7052.302879188305,8056.826494404828,968.7221222241046,356.53890269039897,0.0,165.99319570303405,80.18303137664627,17.977818586646666,0.0,0.0,0.0,0.0,0.0,0.0,21.604332344835928,94136.29245104655,181272.02907717208,21276.019819825146,18591.338482933057,22405.34479713656,10553.61414383064,16916.86589945433,17072.648142825223,13062.663001789053,14316.94627503238,34850.111454900034,32997.31181287214,244532.79577988136,244015.44164136186,197464.92657644663,114055.30674700277,13838.413553584534,10486.829085961426,6552.261656578805,6014.6810173873855,7215.4789858006325,9003.241592364902,7776.702442921417,977.3860768850103,1954.0615428263347,4966.611691186263,7018.632742308647,6993.3625611635825,6494.212503313772,4739.176860776406,3110.9098955971353,970.3026431568849,23.82031860569673,0.0,0.0,0.0,0.0
-55,-58,-60,0.0,0.0,7857.699215136756,16524.243055021412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3581.756854841303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.8105522799142,5118.723377222543,7563.057502287714,10914.535488607386,14981.71632405993,35486.721825771754,48511.45339042459,60287.19730960287,67607.44452505595,66186.24920548766,75792.71678725598,75091.262216955,68354.85357034055,62184.35577866917,36279.82903370822,13353.649422933298,753.5424978010847,0.0,0.0,171.47648498242404,177.515165155877,98.66309750551467,46.559217819828646,8.19882348398818,51.47148077990983,1184.4136653968185,6112.823213473266,194603.14744520828,122641.91026711103,133828.59446001326,99739.90466408661,72958.65250841418,63436.41264950048,45359.022336456794,9191.805309398216,9114.627115976578,7944.949626407324,10744.863157488668,10539.134400100145,12272.73842318918,52693.16238312551,113846.01003365363,185845.7550267054,137998.6689652474,124664.30811450852,75598.42744355791,37421.93001738069,19608.27013992907,15302.230406810993,14023.643065063266,19461.781586354893,19644.332565436896,18836.5163529103,14947.39248019197,13617.071340140577,12007.573161281189,9698.893486892215,7864.735510079513,6926.60399316703,5772.514318241923,4036.913446281602,2662.8207325884355,1309.9408128296564,44.227332188891125
-50,-53,-55,0.0,17509.611954081247,25156.60782453731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.313589519259,0.0,0.0,0.0,0.0,0.0,322.8814328915486,269.36098554691284,195.16409291662762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0598432279628724,5509.662836598655,17162.686029080338,73566.35711325257,230414.34333006333,244773.8237173255,241207.08951838227,224482.53474601774,212677.36338244894,171899.59649566322,139244.82711598102,120898.11365488388,105230.64307041359,95061.19090840637,86267.81734620668,66182.89426656511,51320.502730794695,34118.55891938181,13047.370104836486,8827.757325489825,4953.958230554825,4883.417968026045,3714.729229353833,2436.984121598498,1146.4381124062968,8228.716545166164,14510.360895849402,14700.393777140174,222711.10673832768,215425.2828656764,268948.6582157837,200534.51626647773,150658.90048473416,124944.40852278755,103674.25565723795,68600.66822787885,19584.39525290717,31706.768082624,29905.504434359795,19889.985341207368,14223.783920680535,24023.84539866868,27571.701312336405,108965.1274539327,215202.57448226237,194061.08319955794,158979.38260921382,127563.20150835649,99604.09066632742,72235.75739250661,45356.09312401911,31779.26013920146,21980.087395030343,20717.73882118232,23003.10905885806,21018.678174197114,18776.958387560797,14121.689160714111,11548.606095365549,9987.83058072359,8631.285310725045,7305.65483862746,5647.724414194635,4555.922169715614,3917.3603612538373
-45,-48,-50,30605.12992865249,18953.885579153844,3071.562428424575,4962.051933514079,3379.007552232763,2046.5583094103563,921.682516715651,1117.379960656525,2188.403162511505,2881.9878517727743,3706.8467881064266,4087.4263974885243,3794.7565286590984,1082.8412828689018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1561.0297696702405,134.87034352081918,0.0,0.0,379.14488463784534,358.6358309206931,947.4062009635508,609.7941531694964,402.1932487349711,1488.7319692517012,1340.3120100677374,1036.7627450136406,914.4463493831443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.0873618370254,4145.773134755278,21610.215846585936,15048.809444825167,379041.87940794724,325101.82838275086,276346.8109689661,229670.02417366125,194743.50801193758,260132.98067151738,161010.61164325458,132489.14291188197,112155.73844701293,97362.90622424851,86052.79130537176,76025.93305636915,81245.80194375826,69726.92268631133,52679.39928791515,40298.31729543865,33701.185868980756,28512.51361999206,25438.39265717925,22813.674758185174,20059.465964522606,17514.64979420457,18356.127933181757,18574.83305123952,19393.296661461867,385195.62445297715,592599.4711878545,757374.653868409,651814.4302578365,547457.1814942207,476761.2229749975,418686.1479902556,301360.74882150406,181646.52678461417,180188.75899905452,179861.9089709855,135634.07439001906,105162.16941822857,105689.8876311484,103619.55098102964,144769.30392116672,183473.5942659374,172406.53624690758,224994.57287412076,239135.44855563517,226468.36549140545,198382.48952001793,165482.4096257524,135850.30543191978,104516.77877151556,66317.44207756959,32817.516378113294,12129.726059158338,9168.656152675463,8137.055628574299,9176.220766066415,8189.010565937531,8746.444108039093,8784.94074190416,7884.737997081384,6666.665143731973,5698.936956486115
-40,-43,-45,15559.458693873681,8441.962666420364,9267.277200923261,6194.872177030308,6622.21539870554,6957.587173694974,6887.45444891247,6180.913004030837,4404.426439820815,3435.4623395437766,2918.974546753757,1881.2434014693886,1572.7065404069313,3901.2001690032107,4350.5869633572565,3100.652171344689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2828.0088916256354,0.0,4.479502751211482,1055.6944036652353,3877.2631797206104,2842.2917272304107,4131.11555754498,4012.2294215451793,2424.0860129845937,916.4424120713841,292.6964313834079,171.94099652206216,958.8340408303778,684.6943515897018,0.0,0.0,0.0,0.0,1005.3059278256384,3201.423674920443,10433.749683147955,22829.23227212212,17246.687413957396,11369.378346824858,278818.8895069274,144184.33220303233,104700.51965246847,71258.19161090687,52500.992826046895,37702.98751586453,113149.43539620668,61551.25188402049,32091.136475046384,25707.966280786608,22035.60724690378,18491.268964955045,40867.626275276,57490.5688015311,64341.022774826786,54524.61488405312,45528.66724869748,38407.4650441193,33670.17517712557,29156.080287805686,25780.724000514954,22579.08298127166,24193.843099199486,25321.577923675864,19901.969701550966,893775.2413160711,882298.7441648582,875378.46935135,803112.6681662065,741249.9619978827,863698.5321809764,659083.7927729501,632426.1176157556,532663.3784888657,600316.1920893688,568567.6114994383,370116.7232298437,312819.65281653125,283969.21463522955,255330.05553665242,215803.30089867112,156631.38477866637,137750.51448686686,385805.95222451724,338185.3765676175,306311.4646420359,274291.8228164747,256703.1203745525,222771.6745632666,188259.0150320707,126657.81707106525,93199.82962216894,73942.2819996857,46836.766052040286,32524.17130490573,15442.08151144332,4974.394291026558,2477.5651572424504,1793.07407985002,2611.891473149579,4527.433695474507,5619.45504660419
